"author_crop" "dataprovider" "Pollinator_species" "crop_common_name" "species" "single_visit_metric" "pollinator_guild" "Mean_sc" "guild"
"77" "Howlett_kiwi" "Howlett" "Zorion guttigerum" "Kiwi" "Actinidia deliciosa" "pollen deposition" "coleoptera" -0.87700653009873 "non-bee"
"78" "Howlett_avocado" "Howlett" "Apis mellifera" "Avocado" "Persea americana" "pollen deposition" "apis" 0.21620390615919 "honey bee"
"79" "Howlett_avocado" "Howlett" "Bombus terrestris" "Avocado" "Persea americana" "pollen deposition" "bee" -0.454902718089998 "other bee"
"80" "Howlett_avocado" "Howlett" "Calliphora stygia" "Avocado" "Persea americana" "pollen deposition" "other_diptera" -0.739166479191162 "non-bee"
"81" "Howlett_avocado" "Howlett" "Callphora vicina" "Avocado" "Persea americana" "pollen deposition" "other_diptera" -0.485443453407609 "non-bee"
"82" "Howlett_avocado" "Howlett" "Dilophus nigrostigma" "Avocado" "Persea americana" "pollen deposition" "other_diptera" 2.40065596809282 "non-bee"
"83" "Howlett_avocado" "Howlett" "Helophilus hochstetteri" "Avocado" "Persea americana" "pollen deposition" "syrphid" -0.4069101357472 "non-bee"
"84" "Howlett_avocado" "Howlett" "Melangyna novaezelandiae" "Avocado" "Persea americana" "pollen deposition" "syrphid" -0.874837819384588 "non-bee"
"85" "Howlett_avocado" "Howlett" "Melanostoma fasciatum" "Avocado" "Persea americana" "pollen deposition" "syrphid" 0.496950176968326 "non-bee"
"86" "Howlett_avocado" "Howlett" "Zorion guttigerum" "Avocado" "Persea americana" "pollen deposition" "coleoptera" -0.152549445399776 "non-bee"
"87" "Howlett_radish" "Howlett" "Apis mellifera" "Radish" "Raphanus sativus" "pollen deposition" "apis" 1.02442225565923 "honey bee"
"88" "Howlett_radish" "Howlett" "Bombus terrestris" "Radish" "Raphanus sativus" "pollen deposition" "bee" 1.09548282180563 "other bee"
"89" "Howlett_radish" "Howlett" "Eristalis tenax" "Radish" "Raphanus sativus" "pollen deposition" "syrphid" -0.296898079534431 "non-bee"
"90" "Howlett_radish" "Howlett" "Melanostoma fasciatum" "Radish" "Raphanus sativus" "pollen deposition" "syrphid" -0.929540992637195 "non-bee"
"91" "Howlett_radish" "Howlett" "Oxysarcodexia varia" "Radish" "Raphanus sativus" "pollen deposition" "other_diptera" -0.893466005293236 "non-bee"
